Ticker,Company,Volume,Open Price,Current,Change
AAVL,Alien Aisha Vending Ltd.,"4,050",29,23,-20.69%
ACFI,Achyfi Enterprises,"1,000",28,30,+7.14%
BB,Breadmaster Bakeries,0,10,8,-20.00%
BBBB,Bobs Big Bonus Bingo,"13,000",8,6,-25.00%
BODA,Boda Furnishings Inc,"7,000",12,15,+25.00%
BOOM,Boom Boxes!,"7,010",17,18,+5.88%
BOTT,Balthazar's Faerie Bottling Inc.,0,22,21,-4.55%
BUZZ,Buzz-A-Way Insect Removal,"1,000",80,72,-10.00%
CHIA,Chia Steel Holdings,0,30,25,-16.67%
CHPS,Chiatech Password Security,"8,000",19,9,-52.63%
COFL,Confederation of Fish Lovers,"1,000",125,133,+6.40%
CYBU,Cybun Electromatics,0,37,42,+13.51%
DROO,Dice-A-Roo Industries PLC.,"75,250",17,14,-17.65%
DUNG,Dung Master,"43,633",15,9,-40.00%
EEEE,EURGH!!! Ltd.,0,24,25,+4.17%
FAER,Faerie Clothing Ltd.,"39,954",15,18,+20.00%
FISH,Fish Pops!,500,32,28,-12.50%
FUZZ,Fuzz-I-Ow! Plasters and Bandages,"2,000",28,25,-10.71%
GG,Grundo Galactic,"27,790",17,16,-5.88%
GORM,Gorm Corp,"1,000",7,9,+28.57%
GWH,Grundo Warehouse Mint,"1,000",22,17,-22.73%
HAKA,Hakaheke Island Flights,"29,000",13,11,-15.38%
HELT,Health Frog Groceries,"85,521",16,13,-18.75%
HUW,Huberts Hot Dogs,0,25,25,0%
JCK,Jacko and Sons Painting Ltd.,0,8,11,+37.50%
KATE,Kacheek Telecommunications,0,14,10,-28.57%
KAUF,Kau-Kau Farm,0,87,102,+17.24%
KBAT,Kor-Bat Cricket Supplies,0,36,37,+2.78%
KSON,Kacheek and Sons Landscaping,"1,000",234,242,+3.42%
LDSC,Lost Desert Scratchcards,0,246,263,+6.91%
LUPE,Lupe Consolidated,"1,000",19,16,-15.79%
MP,Meridell Potato Company,0,40,53,+32.50%
MYNC,Mynci Banana Imports,"2,000",66,60,-9.09%
NAI,Neopen AI,0,9,9,0%
NAKR,Nakron,"1,000",120,124,+3.33%
NATN,The National Neopian Bank,"15,000",15,12,-20.00%
NEGG,Neggwork Commerce,0,71,76,+7.04%
NST,NeoSCOOL Technologies,500,29,22,-24.14%
NTV,Neopian TV Channel One,"1,000",87,98,+12.64%
NUG,Nugget Petz,"10,000",8,8,0%
PDSS,PD Secure Storage,0,30,25,-16.67%
PEOP,Peophin Water Parks!,0,10,11,+10.00%
POWR,Power-X Corp.,"1,000",28,35,+25.00%
SHRX,Shoyrux Enterprises,"1,000",95,96,+1.05%
SILL,Silly Squirrel Incorporated,0,10,12,+20.00%
SKBD,Skeith Bodyguards Inc.,"14,009",20,15,-25.00%
SKEI,Skeith Feeding Ltd.,0,109,110,+0.92%
SMUG,The Smugglers Cove,"7,000",10,16,+60.00%
SSGS,Meri Acre Sausages,0,40,35,-12.50%
SSS,Super Splime Shakes,"2,400",688,710,+3.20%
STFP,Stuff-A-Pet Inc.,"2,000",277,259,-6.50%
SWNC,Shop Wizard N-Commerce,"1,000",31,32,+3.23%
TAG,The Auction Genie,0,39,41,+5.13%
TCAG,The Chia Actors Guild,"1,000",54,61,+12.96%
TEFV,Techrobatics Fitness Videos,"1,000",28,24,-14.29%
TGG,The Grundo Gazette,0,23,26,+13.04%
TNAH,The Neopian Auction House,"1,000",52,44,-15.38%
TPEG,Theme Park Entertainers Guild,0,14,9,-35.71%
TPP,The Presidential Palace,0,134,142,+5.97%
TSRC,The Shoyru Company,"3,000",114,114,0%
TYP,Tyrannia Psychics,"2,020",42,33,-21.43%
UNIB,Unis Beauty Salon,0,24,31,+29.17%
VPTS,Virtupets,"30,633",16,11,-31.25%
WERE,Werelupe Way,"49,500",14,12,-14.29%
WISH,Wish Witch Wishing Co.,"11,000",10,10,0%
YIPP,Yippee!,960,39,37,-5.13%
